market_id,city,state_name,state_code,latitude,longitude,year,population,home_value,population_growth_1yr_pct,population_growth_5yr_pct,home_value_growth_1yr_pct,home_value_cagr_3yr_pct,home_value_cagr_5yr_pct,permitted_units,permits_per_1000_population,permit_growth_1yr_pct,homes_sold,homes_sold_growth_1yr_pct,avg_inventory,inventory_growth_1yr_pct,avg_months_of_supply,avg_sale_to_list_pct,activity_months,growth_score,demand_score,supply_score,baseline_score,growth_heavy_score,demand_heavy_score,supply_light_score,avg_scenario_score,baseline_rank,growth_heavy_rank,demand_heavy_rank,supply_light_rank,avg_rank,rank_range,rank_stddev,national_baseline_rank,national_robust_rank,state_baseline_rank,state_robust_rank,created_at
US-2862520,Ridgeland,Mississippi,MS,,,2025,24750,281718.46,0.19,0.54,3.36,2.79,5.92,49,1.98,81.48,605.0,-5.91,58.08,3.41,3.58,96.79,12,40.72,26.6,63.49,41.47,39.9,36.37,36.65,38.6,2259,2271,2470,2475,2368.75,216,103.85,2259,2421,15,17,2026-09-19 22:18:21.483951+00:00
US-0845970,Longmont,Colorado,CO,,,2025,100109,555553.74,0.51,0.92,-2.94,-1.15,3.91,1200,11.99,26.58,3807.0,3.96,352.67,13.82,3.39,98.82,12,28.36,53.41,28.6,37.19,35.91,42.17,39.66,38.73,2554,2481,2136,2314,2371.25,418,161.29,2554,2422,40,40,2026-09-19 22:18:21.483951+00:00
US-2600440,Adrian,Michigan,MI,,,2025,20191,187680.46,-0.49,-2.09,3.49,3.93,5.99,29,1.44,7.41,694.0,-14.74,45.58,-24.97,2.47,97.49,12,29.88,32.34,76.14,42.31,37.56,38.17,35.62,38.41,2200,2390,2382,2514,2371.5,314,111.99,2200,2423,72,75,2026-09-19 22:18:21.483951+00:00
US-0633000,Hayward,California,CA,,,2025,157113,837414.49,-0.02,-3.43,-6.85,-0.57,2.69,47,0.3,-72.99,2377.0,-2.46,158.83,43.42,2.48,101.86,12,6.54,63.85,54.73,38.64,30.96,45.29,37.15,38.01,2463,2668,1912,2445,2372.0,756,279.65,2463,2424,285,284,2026-09-19 22:18:21.483951+00:00
US-4841116,La Marque,Texas,TX,,,2025,20324,232301.75,0.56,10.07,-3.59,-1.64,2.9,137,6.74,30.48,858.0,4.63,124.83,18.51,5.53,96.74,12,45.58,34.47,32.28,38.36,40.25,37.47,39.25,38.83,2483,2251,2416,2341,2372.75,232,86.4,2483,2425,151,146,2026-09-19 22:18:21.483951+00:00
US-0645400,Manhattan Beach,California,CA,,,2025,33122,3142415.62,-0.88,-6.3,2.31,1.03,4.94,91,2.75,-6.19,1014.0,9.74,98.67,12.65,3.54,99.13,12,10.57,61.54,50.95,38.51,31.92,44.66,37.54,38.16,2474,2642,1956,2420,2373.0,686,254.29,2474,2426,287,285,2026-09-19 22:18:21.483951+00:00
US-4833320,Hereford,Texas,TX,,,2025,14976,174655.4,0.7,0.43,-0.92,1.78,4.45,33,2.2,-29.79,238.0,81.68,67.5,250.65,11.16,98.42,12,27.88,52.17,32.21,37.47,35.82,41.89,39.25,38.61,2531,2487,2150,2342,2377.5,381,148.8,2531,2427,168,147,2026-09-19 22:18:21.483951+00:00
US-2637420,Hazel Park,Michigan,MI,,,2025,14937,161958.53,0.1,-0.08,-4.38,2.23,4.57,9,0.6,-35.71,891.0,-6.6,62.58,8.21,2.62,97.73,12,26.09,37.31,73.45,41.86,36.56,39.37,35.88,38.42,2239,2442,2325,2505,2377.75,266,102.9,2239,2428,75,76,2026-09-19 22:18:21.483951+00:00
US-0678582,Thousand Oaks,California,CA,,,2025,122230,1027061.69,-1.12,-3.61,-0.55,2.19,5.38,58,0.47,9.43,3541.0,3.42,316.58,42.39,3.27,98.9,12,17.59,54.17,52.28,39.06,33.77,42.91,37.52,38.32,2433,2568,2093,2423,2379.25,475,174.91,2433,2429,278,286,2026-09-19 22:18:21.483951+00:00
US-4130550,Grants Pass,Oregon,OR,,,2025,39239,397855.65,-0.35,0.07,-0.83,-0.19,3.63,195,4.97,107.45,1515.0,7.29,155.92,9.61,3.83,98.36,12,23.06,51.98,44.38,38.51,34.93,42.16,38.21,38.45,2472,2529,2138,2386,2381.25,391,149.38,2472,2430,41,39,2026-09-19 22:18:21.483951+00:00
